Expression	Value	Location	Type	
halt	'\0' (0x00)	0x200014F6	uint8_t	
resultNdmParam	<array>".b...цсгнлй§яеq"	0x2000148C	uint8_t[15]	
rxNdmCadr	<array>	0x2000070C	uint16_t[1216]	
[149]	31083	0x20000836	uint16_t	
[150]	34144	0x20000838	uint16_t	
[151]	35199	0x2000083A	uint16_t	
[152]	35049	0x2000083C	uint16_t	
[153]	34236	0x2000083E	uint16_t	
[154]	33354	0x20000840	uint16_t	
[155]	32619	0x20000842	uint16_t	
[156]	30527	0x20000844	uint16_t	
[157]	24992	0x20000846	uint16_t	
[158]	18978	0x20000848	uint16_t	
[159]	16450	0x2000084A	uint16_t	
[160]	17183	0x2000084C	uint16_t	
[161]	19117	0x2000084E	uint16_t	
[162]	20923	0x20000850	uint16_t	
[163]	22124	0x20000852	uint16_t	
[164]	25152	0x20000854	uint16_t	
[165]	30344	0x20000856	uint16_t	
[166]	33737	0x20000858	uint16_t	
[167]	34952	0x2000085A	uint16_t	
[168]	33783	0x2000085C	uint16_t	
[169]	29221	0x2000085E	uint16_t	
[170]	22943	0x20000860	uint16_t	
[171]	19430	0x20000862	uint16_t	
[172]	21814	0x20000864	uint16_t	
[173]	28701	0x20000866	uint16_t	
[174]	33152	0x20000868	uint16_t	
[175]	34680	0x2000086A	uint16_t	
[176]	33516	0x2000086C	uint16_t	
[177]	28758	0x2000086E	uint16_t	
[178]	22191	0x20000870	uint16_t	
[179]	18563	0x20000872	uint16_t	
[180]	20827	0x20000874	uint16_t	
[181]	27925	0x20000876	uint16_t	
[182]	32711	0x20000878	uint16_t	
[183]	34387	0x2000087A	uint16_t	
[184]	33281	0x2000087C	uint16_t	
[185]	28427	0x2000087E	uint16_t	
[186]	21795	0x20000880	uint16_t	
[187]	18176	0x20000882	uint16_t	
[188]	20404	0x20000884	uint16_t	
[189]	27586	0x20000886	uint16_t	
[190]	32495	0x20000888	uint16_t	
[191]	34253	0x2000088A	uint16_t	
[192]	33849	0x2000088C	uint16_t	
[193]	29790	0x2000088E	uint16_t	
[194]	23048	0x20000890	uint16_t	
[195]	18411	0x20000892	uint16_t	
[196]	18994	0x20000894	uint16_t	
[197]	25780	0x20000896	uint16_t	
[198]	31689	0x20000898	uint16_t	
[199]	34070	0x2000089A	uint16_t	
[200]	34330	0x2000089C	uint16_t	
[201]	33576	0x2000089E	uint16_t	
[202]	32536	0x200008A0	uint16_t	
[203]	31595	0x200008A2	uint16_t	
[204]	30044	0x200008A4	uint16_t	
[205]	25221	0x200008A6	uint16_t	
[206]	19178	0x200008A8	uint16_t	
[207]	16076	0x200008AA	uint16_t	
[208]	17329	0x200008AC	uint16_t	
[209]	24239	0x200008AE	uint16_t	
[210]	30584	0x200008B0	uint16_t	
[211]	33205	0x200008B2	uint16_t	
[212]	33078	0x200008B4	uint16_t	
[213]	28961	0x200008B6	uint16_t	
[214]	22097	0x200008B8	uint16_t	
[215]	17531	0x200008BA	uint16_t	
[216]	17950	0x200008BC	uint16_t	
[217]	24511	0x200008BE	uint16_t	
[218]	30876	0x200008C0	uint16_t	
[219]	33572	0x200008C2	uint16_t	
[220]	33641	0x200008C4	uint16_t	
[221]	30006	0x200008C6	uint16_t	
[222]	23318	0x200008C8	uint16_t	
[223]	18516	0x200008CA	uint16_t	
[224]	18595	0x200008CC	uint16_t	
[225]	24988	0x200008CE	uint16_t	
[226]	31322	0x200008D0	uint16_t	
[227]	34004	0x200008D2	uint16_t	
[228]	34048	0x200008D4	uint16_t	
[229]	30499	0x200008D6	uint16_t	
[230]	23917	0x200008D8	uint16_t	
[231]	18720	0x200008DA	uint16_t	
[232]	18452	0x200008DC	uint16_t	
[233]	24583	0x200008DE	uint16_t	
[234]	30964	0x200008E0	uint16_t	
[235]	33698	0x200008E2	uint16_t	
[236]	33816	0x200008E4	uint16_t	
[237]	30153	0x200008E6	uint16_t	
[238]	23406	0x200008E8	uint16_t	
[239]	18373	0x200008EA	uint16_t	
[240]	18272	0x200008EC	uint16_t	
[241]	24705	0x200008EE	uint16_t	
[242]	31068	0x200008F0	uint16_t	
[243]	33820	0x200008F2	uint16_t	
[244]	33865	0x200008F4	uint16_t	
[245]	30523	0x200008F6	uint16_t	
[246]	24043	0x200008F8	uint16_t	
[247]	18937	0x200008FA	uint16_t	
[248]	18627	0x200008FC	uint16_t	
[249]	24786	0x200008FE	uint16_t	
[250]	31165	0x20000900	uint16_t	
[251]	33865	0x20000902	uint16_t	
[252]	34085	0x20000904	uint16_t	
[253]	30680	0x20000906	uint16_t	
[254]	24157	0x20000908	uint16_t	
[255]	18899	0x2000090A	uint16_t	
[256]	18330	0x2000090C	uint16_t	
[257]	24210	0x2000090E	uint16_t	
[258]	30877	0x20000910	uint16_t	
[259]	33799	0x20000912	uint16_t	
[260]	34185	0x20000914	uint16_t	
[261]	31072	0x20000916	uint16_t	
[262]	24710	0x20000918	uint16_t	
[263]	19208	0x2000091A	uint16_t	
[264]	17771	0x2000091C	uint16_t	
[265]	19131	0x2000091E	uint16_t	
[266]	21514	0x20000920	uint16_t	
[267]	23725	0x20000922	uint16_t	
[268]	25349	0x20000924	uint16_t	
[269]	28653	0x20000926	uint16_t	
[270]	31734	0x20000928	uint16_t	
[271]	33036	0x2000092A	uint16_t	
[272]	33273	0x2000092C	uint16_t	
[273]	33274	0x2000092E	uint16_t	
[274]	33540	0x20000930	uint16_t	
[275]	33831	0x20000932	uint16_t	
[276]	33601	0x20000934	uint16_t	
[277]	30794	0x20000936	uint16_t	
[278]	25166	0x20000938	uint16_t	
[279]	20239	0x2000093A	uint16_t	
[280]	19117	0x2000093C	uint16_t	
[281]	24117	0x2000093E	uint16_t	
[282]	30586	0x20000940	uint16_t	
[283]	33586	0x20000942	uint16_t	
[284]	33648	0x20000944	uint16_t	
[285]	30083	0x20000946	uint16_t	
[286]	23167	0x20000948	uint16_t	
[287]	17748	0x2000094A	uint16_t	
[288]	17104	0x2000094C	uint16_t	
[289]	22763	0x2000094E	uint16_t	
[290]	29971	0x20000950	uint16_t	
[291]	33465	0x20000952	uint16_t	
[292]	34164	0x20000954	uint16_t	
[293]	31435	0x20000956	uint16_t	
[294]	25215	0x20000958	uint16_t	
[295]	19361	0x2000095A	uint16_t	
[296]	17598	0x2000095C	uint16_t	
[297]	18800	0x2000095E	uint16_t	
[298]	20836	0x20000960	uint16_t	
[299]	22381	0x20000962	uint16_t	
[300]	23472	0x20000964	uint16_t	
[301]	27310	0x20000966	uint16_t	
[302]	32022	0x20000968	uint16_t	
[303]	34534	0x2000096A	uint16_t	
[304]	35015	0x2000096C	uint16_t	
[305]	32708	0x2000096E	uint16_t	
[306]	27122	0x20000970	uint16_t	
[307]	21367	0x20000972	uint16_t	
[308]	19440	0x20000974	uint16_t	
[309]	24017	0x20000976	uint16_t	
[310]	30672	0x20000978	uint16_t	
[311]	33865	0x2000097A	uint16_t	
[312]	34794	0x2000097C	uint16_t	
[313]	34312	0x2000097E	uint16_t	
[314]	33310	0x20000980	uint16_t	
[315]	32413	0x20000982	uint16_t	
[316]	31631	0x20000984	uint16_t	
[317]	28512	0x20000986	uint16_t	
[318]	22304	0x20000988	uint16_t	
[319]	17418	0x2000098A	uint16_t	
[320]	16238	0x2000098C	uint16_t	
[321]	17577	0x2000098E	uint16_t	
[322]	19574	0x20000990	uint16_t	
[323]	21184	0x20000992	uint16_t	
[324]	22331	0x20000994	uint16_t	
[325]	26128	0x20000996	uint16_t	
[326]	31318	0x20000998	uint16_t	
